construct,genotype,mouse_id,sex,session_nr,block_nr,block_Id,trial_nr,trialtype,validity,CRonset,CRamp,CRpeaktime,FEC_amp,FEC_time,AmpAtTimeX,startle,CR
C57Bl/6J,wt,146,female,3,4,75089,12,tone10,valid,NaN,NaN,NaN,0.239670105870204,717,0.222029344440248,1,0
C57Bl/6J,wt,146,female,4,4,75255,12,tone10,valid,NaN,NaN,NaN,0.169826187189636,654,0.122039996886543,1,0
C57Bl/6J,wt,146,female,5,4,75411,12,tone10,valid,NaN,NaN,NaN,0.138539955094586,780,0.124342716273157,1,0
C57Bl/6J,wt,146,female,6,4,75571,12,tone10,valid,NaN,0.177137869052095,765,0.177137869052095,765,0.170012574086531,1,1
C57Bl/6J,wt,146,female,7,4,75731,12,tone10,valid,NaN,0.541941712687259,843,0.541941712687259,843,0.420866863043455,1,1
C57Bl/6J,wt,146,female,8,4,75891,12,tone10,valid,NaN,0.718342852772222,834,0.718342852772222,834,0.629043601570578,1,1
C57Bl/6J,wt,146,female,9,4,76051,12,tone10,valid,NaN,0.130121985138361,822,0.130121985138361,822,0.103553842998747,1,1
C57Bl/6J,wt,146,female,10,4,76211,12,tone10,valid,NaN,0.315318051967341,897,0.315318051967341,897,0.202536145113557,1,1
C57Bl/6J,wt,146,female,1,5,74772,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,5,74932,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,5,75092,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,5,75258,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,5,75414,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,5,75574,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,5,75734,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,5,75894,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,5,76054,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,5,76215,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,5,74772,12,tone10,valid,NaN,NaN,NaN,0.107608646292831,918,0.0842852417014551,1,0
C57Bl/6J,wt,146,female,2,5,74932,12,tone10,valid,NaN,NaN,NaN,0.194733923466848,753,0.194076386968183,1,0
